date,volume_na,volume_sa,volume_eu,volume_af,volume_as,volume_au,volume_ww
2019-10-19,0.00,0.00,0.00,0.00,0.00,0.00,1502.33
2019-10-20,0.00,0.00,0.00,0.00,0.00,0.00,2305.19
2019-10-21,0.00,0.00,0.00,0.00,0.00,0.00,1062.56
2019-10-22,0.00,0.00,0.00,0.00,0.00,0.00,702.58
2019-10-23,0.00,0.00,0.00,0.00,0.00,0.00,1070.31
2019-10-24,0.00,0.00,0.00,0.00,0.00,0.00,689.51
2019-10-25,0.00,0.00,0.00,0.00,0.00,0.00,1796.05
2019-10-26,0.00,0.00,0.00,0.00,0.00,0.00,1566.19
2019-10-27,0.00,0.00,0.00,0.00,0.00,0.00,1445.37
2019-10-28,0.00,0.00,0.00,0.00,0.00,0.00,1264.35
2019-10-29,0.00,0.00,0.00,0.00,0.00,0.00,1487.08
2019-10-30,0.00,0.00,0.00,0.00,0.00,0.00,1821.96
2019-10-31,0.00,0.00,0.00,0.00,0.00,0.00,994.54
2019-11-01,0.00,0.00,0.00,0.00,0.00,0.00,1125.43
2019-11-02,0.00,0.00,0.00,0.00,0.00,0.00,804.59
2019-11-03,0.00,0.00,0.00,0.00,0.00,0.00,1013.47
2019-11-04,0.00,0.00,0.00,0.00,0.00,0.00,723.61
2019-11-05,0.00,0.00,0.00,0.00,0.00,0.00,651.36
2019-11-06,0.00,0.00,0.00,0.00,0.00,0.00,1207.42
2019-11-07,0.00,0.00,0.00,0.00,0.00,0.00,1445.16
2019-11-08,0.00,0.00,0.00,0.00,0.00,0.00,1949.08
2019-11-09,0.00,0.00,0.00,0.00,0.00,0.00,1563.17
2019-11-10,0.00,0.00,0.00,0.00,0.00,0.00,829.40
2019-11-11,0.00,0.00,0.00,0.00,0.00,0.00,1043.56
2019-11-12,0.00,0.00,0.00,0.00,0.00,0.00,1428.17
2019-11-13,0.00,0.00,0.00,0.00,0.00,0.00,1153.37
2019-11-14,0.00,0.00,0.00,0.00,0.00,0.00,836.53
2019-11-15,0.00,0.00,0.00,0.00,0.00,0.00,1638.41
2019-11-16,0.00,0.00,0.00,0.00,0.00,0.00,2099.34
